SiteNameTreat,SiteNameRep,SiteName,Site,Gas,FileName,Date_R,SlopeID,Treatment,SplitID,lat,lon,mgm2day_mean,mgm2day_sd,ppm_min,ppm_max,Temp_mean,Humidity_mean,Rainfall_mean,PondiRep,Season,pH,DO,Depth,Surface_Ar,Water_Temp,Nitrogen,Phosphorus,Vegetation/20m(Area m2)
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,25/10/2022,Date_2022-10-25_FileName_Baldrys_FD.csv_Gas_CO2,FD,1,-38.42762,144.95741,357.80625,183.0591492,580,1180,16.48,89.81,7.25,8,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,26/10/2022,Date_2022-10-26_FileName_Baldrys_FD.csv_Gas_CO2,FD,1,-38.42762,144.95741,137.0533333,628.5782165,1218,2470,14.76,93.44,11.71,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,27/10/2022,Date_2022-10-27_FileName_Baldrys_FD.csv_Gas_CO2,FD,1,-38.42762,144.95741,398.9445833,412.7014274,2074,4118,14.94,89.62,7.6,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,28/10/2022,Date_2022-10-28_FileName_Baldrys_FD.csv_Gas_CO2,FD,1,-38.42762,144.95741,592.9066667,384.7427229,4363,7373,12.87,84.62,15.52,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,29/10/2022,Date_2022-10-29_FileName_Baldrys_FD.csv_Gas_CO2,FD,1,-38.42762,144.95741,-202.5166667,559.4142265,6261,7993,12.82,78.25,2.38,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,30/10/2022,Date_2022-10-30_FileName_Baldrys_FD.csv_Gas_CO2,FD,1,-38.42762,144.95741,-62.73,73.78877218,6213,6235,14.35,76.69,1.74,3,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,19/11/2022,Date_2022-11-19_FileName_Baldrys_FD.csv_Gas_CO2,FD,2,-38.42762,144.95741,2156.191667,2144.841504,120,3127,16.19,84.12,14.13,6,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,20/11/2022,Date_2022-11-20_FileName_Baldrys_FD.csv_Gas_CO2,FD,2,-38.42762,144.95741,-328.711875,1270.245273,2030,4620,13.86,78.12,15.32,32,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,21/11/2022,Date_2022-11-21_FileName_Baldrys_FD.csv_Gas_CO2,FD,2,-38.42762,144.95741,304.0116667,977.1477034,3703,5386,10.94,77.94,12.84,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,22/11/2022,Date_2022-11-22_FileName_Baldrys_FD.csv_Gas_CO2,FD,2,-38.42762,144.95741,-1094.498,2255.966924,1434,6348,13.05,82.75,7.93,15,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,4/12/2022,Date_2022-12-04_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,502.8714286,619.960086,547,1428,20.92,72.19,0.25,7,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,5/12/2022,Date_2022-12-05_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,580.8670833,800.2341732,1696,4642,15.39,85.31,7.44,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,6/12/2022,Date_2022-12-06_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,-419.7795833,1518.882189,1379,6235,14.72,75.5,0.55,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,7/12/2022,Date_2022-12-07_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,150.6408696,1172.39615,1283,3625,14.15,72.69,3.7,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,8/12/2022,Date_2022-12-08_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,220.1658333,1148.124827,3526,5962,12.6,72.38,1.22,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,9/12/2022,Date_2022-12-09_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,-207.8965217,927.9573125,2759,5543,13.3,68,0.36,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,10/12/2022,Date_2022-12-10_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,-109.4458333,773.7332614,2001,4177,15.67,65.12,0,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,11/12/2022,Date_2022-12-11_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,182.99875,676.1807279,2661,3913,17.31,83.06,15.67,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,12/12/2022,Date_2022-12-12_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,171.1586957,680.8688096,3415,4542,13.73,82.12,18.81,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,13/12/2022,Date_2022-12-13_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,214.3245833,668.6547233,4658,5977,13.22,76.62,10.64,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CO2,Baldrys_FD.csv,14/12/2022,Date_2022-12-14_FileName_Baldrys_FD.csv_Gas_CO2,FD,3,-38.42762,144.95741,280.81,435.5425655,5722,6570,13.23,75.62,7.47,11,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,25/10/2022,Date_2022-10-25_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,3.481,4.56631495,2,29,16.48,89.81,7.25,10,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,26/10/2022,Date_2022-10-26_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,1.997083333,3.231555661,31,59,14.76,93.44,11.71,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,27/10/2022,Date_2022-10-27_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,2.13,1.978794099,60,91,14.94,89.62,7.6,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,28/10/2022,Date_2022-10-28_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,13.61958333,9.156774864,94,296,12.87,84.62,15.52,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,29/10/2022,Date_2022-10-29_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,15.02916667,17.57263929,306,522,12.82,78.25,2.38,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,30/10/2022,Date_2022-10-30_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,5.146956522,21.54068907,495,596,14.35,76.69,1.74,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,31/10/2022,Date_2022-10-31_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,12.42375,18.89367615,596,783,14.58,83.44,16.19,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,1/11/2022,Date_2022-11-01_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,15.2475,100.8551613,711,1012,10.3,81.19,12.11,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,2/11/2022,Date_2022-11-02_FileName_Baldrys_FD.csv_Gas_CH4,FD,1,-38.42762,144.95741,29.0275,11.64075706,1038,1085,11.68,77,7.27,4,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,15/11/2022,Date_2022-11-15_FileName_Baldrys_FD.csv_Gas_CH4,FD,2,-38.42762,144.95741,8.132,13.02256404,3,84,11.47,70.75,2.78,15,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,16/11/2022,Date_2022-11-16_FileName_Baldrys_FD.csv_Gas_CH4,FD,2,-38.42762,144.95741,4.5525,3.426700829,90,107,12.04,72.38,3.18,8,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,5/12/2022,Date_2022-12-05_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,3.853478261,3.599277211,27,80,15.39,85.31,7.44,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,6/12/2022,Date_2022-12-06_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,5.491666667,13.04169356,71,163,14.72,75.5,0.55,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,7/12/2022,Date_2022-12-07_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,2.500434783,15.10922731,117,199,14.15,72.69,3.7,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,8/12/2022,Date_2022-12-08_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,8.05375,14.33649942,205,321,12.6,72.38,1.22,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,9/12/2022,Date_2022-12-09_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,6.014782609,25.45878681,253,408,13.3,68,0.36,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,10/12/2022,Date_2022-12-10_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,-0.606666667,28.51537322,276,432,15.67,65.12,0,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,11/12/2022,Date_2022-12-11_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,2.294166667,26.14326747,298,432,17.31,83.06,15.67,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,12/12/2022,Date_2022-12-12_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,6.089130435,25.60558762,379,520,13.73,82.12,18.81,23,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,13/12/2022,Date_2022-12-13_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,13.5725,31.57634396,524,725,13.22,76.62,10.64,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,14/12/2022,Date_2022-12-14_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,11.17708333,174.9191973,510,894,13.23,75.62,7.47,24,Summer,6.61,12.7,,764.47,24.5,,,0
Baldrys_FD,Baldrys_FD,Baldrys,Baldrys FD,CH4,Baldrys_FD.csv,15/12/2022,Date_2022-12-15_FileName_Baldrys_FD.csv_Gas_CH4,FD,3,-38.42762,144.95741,12.95913043,55.26326035,819,1081,13.72,72.31,0.24,23,Summer,6.61,12.7,,764.47,24.5,,,0
